Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
001,Bulbasaur,Planta,Veneno,45,49,49,65,65,45
002,Ivysaur,Planta,Veneno,60,62,63,80,80,60
003,Venusaur,Planta,Veneno,80,82,83,100,100,80
004,Charmander,Fuego,,39,52,43,60,50,65
005,Charmeleon,Fuego,,58,64,58,80,65,80
006,Charizard,Fuego,Volador,78,84,78,109,85,100
007,Squirtle,Agua,,44,48,65,50,64,43
008,Wartortle,Agua,,59,63,80,65,80,58
009,Blastoise,Agua,,79,83,100,85,105,78
010,Caterpie,Bicho,,45,30,35,20,20,45
011,Metapod,Bicho,,50,20,55,25,25,30
012,Butterfree,Bicho,Volador,60,45,50,90,80,70
013,Weedle,Bicho,Veneno,40,35,30,20,20,50
014,Kakuna,Bicho,Veneno,45,25,50,25,25,35
015,Beedrill,Bicho,Veneno,65,90,40,45,80,75
016,Pidgey,Normal,Volador,40,45,40,35,35,56
017,Pidgeotto,Normal,Volador,63,60,55,50,50,71
018,Pidgeot,Normal,Volador,83,80,75,70,70,101
019,Rattata,Normal,,30,56,35,25,35,72
020,Raticate,Normal,,55,81,60,50,70,97
021,Spearow,Normal,Volador,40,60,30,31,31,70
022,Fearow,Normal,Volador,65,90,65,61,61,100
023,Ekans,Veneno,,35,60,44,40,54,55
024,Arbok,Veneno,,60,95,69,65,79,80
025,Pikachu,Electrico,,35,55,40,50,50,90
026,Raichu,Electrico,,60,90,55,90,80,110
027,Sandshrew,Tierra,,50,75,85,20,30,40
028,Sandslash,Tierra,,75,100,110,45,55,65
029,Nidoran♀,Veneno,,55,47,52,40,40,41
030,Nidorina,Veneno,,70,62,67,55,55,56
031,Nidoqueen,Veneno,Tierra,90,92,87,75,85,76
032,Nidoran♂,Veneno,,46,57,40,40,40,50
033,Nidorino,Veneno,,61,72,57,55,55,65
034,Nidoking,Veneno,Tierra,81,102,77,85,75,85
035,Clefairy,Hada,,70,45,48,60,65,35
036,Clefable,Hada,,95,70,73,95,90,60
037,Vulpix,Fuego,,38,41,40,50,65,65
038,Ninetales,Fuego,,73,76,75,81,100,100
039,Jigglypuff,Normal,Hada,115,45,20,45,25,20
040,Wigglytuff,Normal,Hada,140,70,45,85,50,45
041,Zubat,Veneno,Volador,40,45,35,30,40,55
042,Golbat,Veneno,Volador,75,80,70,65,75,90
043,Oddish,Planta,Veneno,45,50,55,75,65,30
044,Gloom,Planta,Veneno,60,65,70,85,75,40
045,Vileplume,Planta,Veneno,75,80,85,110,90,50
046,Paras,Bicho,Planta,35,70,55,45,55,25
047,Parasect,Bicho,Planta,60,95,80,60,80,30
048,Venonat,Bicho,Veneno,60,55,50,40,55,45
049,Venomoth,Bicho,Veneno,70,65,60,90,75,90
050,Diglett,Tierra,,10,55,25,35,45,95
051,Dugtrio,Tierra,,35,100,50,50,70,120
052,Meowth,Normal,,40,45,35,40,40,90
053,Persian,Normal,,65,70,60,65,65,115
054,Psyduck,Agua,,50,52,48,65,50,55
055,Golduck,Agua,,80,82,78,95,80,85
056,Mankey,Lucha,,40,80,35,35,45,70
057,Primeape,Lucha,,65,105,60,60,70,95
058,Growlithe,Fuego,,55,70,45,70,50,60
059,Arcanine,Fuego,,90,110,80,100,80,95
060,Poliwag,Agua,,40,50,40,40,40,90
061,Poliwhirl,Agua,,65,65,65,50,50,90
062,Poliwrath,Agua,Lucha,90,95,95,70,90,70
063,Abra,Psiquico,,25,20,15,105,55,90
